,0
date,0
total_cases,0
new_cases,13
total_cases_per_million,0
new_cases_per_million,13
stringency_index,12
new_cases_smoothed,8
new_deaths_smoothed,5
new_cases_smoothed_per_million,8
new_deaths_smoothed_per_million,5
total_deaths,0
new_deaths,22
total_deaths_per_million,0
new_deaths_per_million,22
reproduction_rate,0
excess_mortality_cumulative_absolute,0
excess_mortality_cumulative,0
excess_mortality,0
total_tests,0
total_tests_per_thousand,0
tests_units,0
new_tests,0
new_tests_per_thousand,0
new_tests_smoothed,0
new_tests_smoothed_per_thousand,0
positive_rate,0
tests_per_case,0
