,date,total_cases,new_cases,total_cases_per_million,new_cases_per_million,stringency_index,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,total_deaths,new_deaths,total_deaths_per_million,new_deaths_per_million,reproduction_rate,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,total_tests,total_tests_per_thousand,tests_units,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
0,1,1,1,0.023,0.023,11.11,0.0,0.286,0.0,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
1,2,1,0,0.023,0.0,11.11,0.0,0.286,0.0,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
2,3,1,0,0.023,0.0,11.11,0.0,0.286,0.0,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
3,4,1,0,0.023,0.0,11.11,0.0,0.286,0.0,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
4,5,1,0,0.023,0.0,11.11,0.0,0.286,0.0,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
5,6,1,0,0.023,0.0,11.11,0.143,0.0,0.003,0.0,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
6,7,1,0,0.023,0.0,11.11,0.143,0.0,0.003,0.0,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
7,8,1,0,0.023,0.0,11.11,0.0,0.0,0.0,0.0,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
8,9,1,0,0.023,0.0,11.11,0.0,0.0,0.0,0.0,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
9,10,1,0,0.023,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
10,11,3,2,0.069,0.046,50.0,0.286,0.143,0.007,0.003,1.0,1.0,0.023,0.023,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
11,12,3,0,0.069,0.0,50.0,0.286,0.143,0.007,0.003,1.0,0.0,0.023,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
12,13,3,0,0.069,0.0,50.0,0.286,0.143,0.007,0.003,1.0,0.0,0.023,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
13,14,7,4,0.161,0.092,64.81,0.857,0.143,0.02,0.003,1.0,0.0,0.023,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
14,15,14,7,0.322,0.161,77.78,1.857,0.286,0.043,0.007,2.0,1.0,0.046,0.023,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
15,16,14,0,0.322,0.0,88.89,1.857,0.286,0.043,0.007,2.0,0.0,0.046,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
16,17,16,2,0.368,0.046,88.89,2.143,0.286,0.049,0.007,2.0,0.0,0.046,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
17,18,29,13,0.667,0.299,88.89,3.714,0.286,0.085,0.007,3.0,1.0,0.069,0.023,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
18,19,47,18,1.081,0.414,88.89,6.286,0.286,0.145,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
19,20,73,26,1.679,0.598,88.89,10.0,0.286,0.23,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
20,21,73,0,1.679,0.0,88.89,9.429,0.286,0.217,0.007,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
21,22,97,24,2.232,0.552,88.89,11.857,0.143,0.273,0.003,3.0,0.0,0.069,0.0,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
22,23,145,48,3.336,1.104,88.89,18.714,0.429,0.431,0.01,5.0,2.0,0.115,0.046,1.11,-14858.4,-5.83,-11.55,20608.0,0.474,tests performed,18276.0,0.229,10551.0,0.395,0.081,3.0
